ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Shell Croydon,"418-424 LIVERPOOL RD, CROYDON NSW 2132",CROYDON,2132,Shell,P98,2025-01-01 02:17:00,205.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,P98,2025-01-01 02:18:00,211.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,U91,2025-01-01 02:18:00,187.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,E10,2025-01-01 02:18:00,185.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,P95,2025-01-01 02:18:00,203.9
Ampol Foodary Dubbo,"Cobra Street Cnr Brisbane Street, DUBBO NSW 2830",DUBBO,2830,Ampol,PDL,2025-01-01 02:18:00,193.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P98,2025-01-01 02:18:00,210.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,U91,2025-01-01 02:18:00,185.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,E10,2025-01-01 02:18:00,183.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P95,2025-01-01 02:18:00,202.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P98,2025-01-01 02:32:00,210.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,U91,2025-01-01 02:32:00,185.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,E10,2025-01-01 02:32:00,183.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P95,2025-01-01 02:32:00,202.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,E10,2025-01-01 02:40:00,169.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,PDL,2025-01-01 02:40:00,165.7
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,P98,2025-01-01 03:30:00,199.9
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,DL,2025-01-01 03:30:00,182.9
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,PDL,2025-01-01 03:30:00,184.9
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,U91,2025-01-01 03:30:00,179.9
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,E10,2025-01-01 03:30:00,177.9
METRO PETROLEUM TARRO,"107 ANDERSON DR, TARRO NSW 2322",TARRO,2322,Metro Fuel,E10,2025-01-01 03:33:00,165.9
METRO PETROLEUM TARRO,"107 ANDERSON DR, TARRO NSW 2322",TARRO,2322,Metro Fuel,DL,2025-01-01 03:33:00,167.9
BP Tomingley,"Newell Highway, Tomingley NSW 2869",Tomingley,2869,BP,E10,2025-01-01 04:16:00,181.9
BP Tomingley,"Newell Highway, Tomingley NSW 2869",Tomingley,2869,BP,U91,2025-01-01 04:16:00,179.9
BP Tomingley,"Newell Highway, Tomingley NSW 2869",Tomingley,2869,BP,P98,2025-01-01 04:16:00,203.9
BP Tomingley,"Newell Highway, Tomingley NSW 2869",Tomingley,2869,BP,DL,2025-01-01 04:16:00,185.9
