DateTime,Abellpoint measured,Abellpoint predicted,Bundaberg measured,Bundaberg predicted
2023-05-25T00:00,2.497,2.513,2.683,2.72
2023-05-25T00:10,2.538,2.563,2.685,2.712
2023-05-25T00:20,2.591,2.611,2.669,2.697
2023-05-25T00:30,2.612,2.655,2.656,2.678
2023-05-25T00:40,2.659,2.697,2.636,2.653
2023-05-25T00:50,2.702,2.738,2.602,2.623
2023-05-25T01:00,2.75,2.774,2.577,2.589
2023-05-25T01:10,2.774,2.808,2.543,2.551
2023-05-25T01:20,2.815,2.837,2.492,2.509
2023-05-25T01:30,2.834,2.861,2.445,2.465
2023-05-25T01:40,2.88,2.882,2.383,2.417
2023-05-25T01:50,2.892,2.897,2.329,2.368
2023-05-25T02:00,2.899,2.906,2.29,2.318
2023-05-25T02:10,2.878,2.909,2.254,2.265
2023-05-25T02:20,2.903,2.906,2.204,2.211
2023-05-25T02:30,2.918,2.898,2.149,2.157
2023-05-25T02:40,2.905,2.886,2.076,2.101
2023-05-25T02:50,2.853,2.868,2.022,2.045
2023-05-25T03:00,2.827,2.846,1.978,1.99
2023-05-25T03:10,2.828,2.821,1.936,1.934
2023-05-25T03:20,2.798,2.791,1.878,1.878
2023-05-25T03:30,2.762,2.759,1.828,1.823
2023-05-25T03:40,2.716,2.723,1.762,1.769
2023-05-25T03:50,2.696,2.684,1.704,1.716
2023-05-25T04:00,2.662,2.642,1.668,1.666
2023-05-25T04:10,2.608,2.596,1.625,1.617
2023-05-25T04:20,2.571,2.548,1.581,1.569
2023-05-25T04:30,2.535,2.497,1.532,1.525
2023-05-25T04:40,2.48,2.443,1.487,1.482
2023-05-25T04:50,2.409,2.387,1.437,1.442
2023-05-25T05:00,2.373,2.331,1.395,1.405
2023-05-25T05:10,2.331,2.274,1.369,1.372
2023-05-25T05:20,2.303,2.217,1.332,1.342
2023-05-25T05:30,2.237,2.162,1.312,1.315
2023-05-25T05:40,2.192,2.107,1.281,1.293
2023-05-25T05:50,2.127,2.053,1.259,1.274
2023-05-25T06:00,2.1,2.002,1.236,1.261
2023-05-25T06:10,1.993,1.951,1.212,1.252
2023-05-25T06:20,1.98,1.902,1.204,1.248
2023-05-25T06:30,1.955,1.854,1.207,1.248
2023-05-25T06:40,1.897,1.806,1.199,1.253
2023-05-25T06:50,1.853,1.758,1.193,1.262
2023-05-25T07:00,1.802,1.711,1.214,1.275
2023-05-25T07:10,1.735,1.665,1.237,1.292
2023-05-25T07:20,1.701,1.62,1.262,1.313
2023-05-25T07:30,1.656,1.576,1.288,1.336
2023-05-25T07:40,1.635,1.534,1.317,1.361
2023-05-25T07:50,1.6,1.494,1.333,1.388
2023-05-25T08:00,1.538,1.457,1.346,1.417
2023-05-25T08:10,1.492,1.424,1.395,1.446
2023-05-25T08:20,1.473,1.393,1.434,1.478
2023-05-25T08:30,1.452,1.366,1.46,1.51
2023-05-25T08:40,1.427,1.342,1.487,1.542
2023-05-25T08:50,1.399,1.321,1.53,1.576
2023-05-25T09:00,1.366,1.303,1.555,1.61
2023-05-25T09:10,1.333,1.286,1.571,1.643
2023-05-25T09:20,1.31,1.273,1.597,1.677
2023-05-25T09:30,1.325,1.263,1.633,1.711
2023-05-25T09:40,1.333,1.256,1.678,1.743
2023-05-25T09:50,1.296,1.253,1.707,1.775
2023-05-25T10:00,1.3,1.253,1.744,1.806
2023-05-25T10:10,1.275,1.257,1.772,1.834
2023-05-25T10:20,1.308,1.265,1.805,1.863
2023-05-25T10:30,1.299,1.277,1.836,1.888
2023-05-25T10:40,1.319,1.293,1.866,1.911
2023-05-25T10:50,1.309,1.313,1.903,1.933
2023-05-25T11:00,1.36,1.336,1.919,1.953
2023-05-25T11:10,1.364,1.359,1.94,1.969
2023-05-25T11:20,1.385,1.386,1.978,1.983
