Date,"A001, Bicentennial Bikeway, Auchenflower  _Pedestrian","A001, Bicentennial Bikeway, Auchenflower  _Cyclist","A019, Bicentennial Bikeway, Milton  _Pedestrian","A019, Bicentennial Bikeway, Milton  _Cyclist","A002, Bishop Street, Kelvin Grove  _Pedestrian","A002, Bishop Street, Kelvin Grove  _Cyclist","A023, Botanic Gardens, City  _Pedestrian","A023, Botanic Gardens, City  _Cyclist","A003, Ekibin Park, Greenslopes  _Pedestrian","A003, Ekibin Park, Greenslopes  _Cyclist","A004, Eleanor Schonell Br Cyclists, St Lucia  _Cyclist","A004, Eleanor Schonell Br Pedestrians, St Lucia  _Pedestrian","A005, Go Between Br Cyclists, South Brisbane   _Cyclist","A005, Go Between Br Pedestrians, South Brisbane  _Pedestrian","A006, Granville St Bridge, Herston  _Pedestrian","A006, Granville St Bridge, Herston  _Cyclist","A020, Gympie Rd (Marchant Park), Chermside  _Pedestrian","A020, Gympie Rd (Marchant Park), Chermside  _Cyclist","A007, Jack Pesch Bridge, Indooroopilly_Pedestrian","A007, Jack Pesch Bridge, Indooroopilly_Cyclist","A008, Kangaroo Point Bikeway, Kangaroo Point  _Pedestrian","A008, Kangaroo Point Bikeway, Kangaroo Point  _Cyclist","A009, Kedron Brook Bikeway, Lutwyche  _Pedestrian","A009, Kedron Brook Bikeway, Lutwyche  _Cyclist","A010, Kedron Brook Bikeway, Mitchelton  _Pedestrian","A010, Kedron Brook Bikeway, Mitchelton  _Cyclist","A011, Lambert Rd, Indooroopilly  _Cyclist","A021, Lores Bonney Riverwalk, Hamilton  _Pedestrian","A021, Lores Bonney Riverwalk, Hamilton  _Cyclist","A018, Macquarie Street, St Lucia  _Pedestrian","A018, Macquarie Street, St Lucia  _Cyclist","A017, Norman Creek Bridge, Norman Park  _Pedestrian","A017, Norman Creek Bridge, Norman Park  _Cyclist","A012, North Brisbane Bikeway (Mann Park), Windsor  _Pedestrian","A012, North Brisbane Bikeway (Mann Park), Windsor  _Cyclist","A013, Riverwalk, Newfarm  _Pedestrian","A013, Riverwalk, Newfarm  _Cyclist","A014, Schulz Canal Bridge, Nundah  _Pedestrian","A014, Schulz Canal Bridge, Nundah  _Cyclist","A022, Stanley Street, South Brisbane  _Cyclist","A016, Story Bridge East, Kangaroo Point  _Pedestrian","A016, Story Bridge East, Kangaroo Point  _Cyclist","A016, Story Bridge West, Kangaroo Point _Pedestrian","A016, Story Bridge West, Kangaroo Point _Cyclist","A024, Land Bridge ICB, Spring Hill  _Pedestrian","A024, Land Bridge ICB, Spring Hill  _Cyclist","A025, Maritime Museum, South Brisbane  _Pedestrian","A025, Maritime Museum, South Brisbane  _Cyclist","A026, Annerley Rd, South Brisbane  _Cyclist","A027, Kurilpa Bridge Tank Street, Brisbane City  _Cyclist","A028, Indooroopilly Riverwalk, Indooroopilly _Pedestrian","A028, Indooroopilly Riverwalk, Indooroopilly _Cyclist","A029, Lytton Road, East Brisbane _Cyclist","A200,_Cyclist City Link Cycleway (Edward St - Charlotte to Mary), City","A200,_Scooter City Link Cycleway (Edward St - Charlotte to Mary), City","A201,_Cyclist City Link Cycleway (Elizabeth St - Creek to Edward), City","A202,_Cyclist City Link Cycleway (Elizabeth St - Edward to Albert), City","A202,_Scooter City Link Cycleway (Elizabeth St - Edward to Albert), City","A203,_Cyclist City Link Cycleway (Victoria Bridge), City","A203,_Scooter City Link Cycleway (Victoria Bridge), City"
"Friday, 1 January 2021",1375,1718,1180,1780,1030,96,2955,1518,732,186,,712,845,,158,96,131,12,455,430,2645,938,735,610,258,134,377,1793,714,894,536,245,2,165,189,2080,695,119,19,369,508,380,936,313,358,236,5710,1738,265,275,,,160,,,,,,,
"Saturday, 2 January 2021",1668,2649,1445,2865,795,98,3267,2136,672,243,,728,1258,,212,170,153,14,538,717,2961,1193,1231,982,335,194,599,1754,968,849,810,239,8,248,281,2049,940,343,53,594,375,583,667,376,383,407,6485,2538,462,477,,,219,,,,,,,
"Sunday, 3 January 2021",1939,3062,1251,3217,518,163,3172,2448,762,251,,673,1323,,223,144,121,15,520,862,3029,1382,929,1390,340,268,636,2095,1283,867,973,284,11,253,458,2502,1086,56,77,610,371,726,602,408,423,565,6525,2974,479,518,,,329,,,,,,,
"Monday, 4 January 2021",2007,2587,1218,2780,469,147,2583,1792,843,215,,996,1203,,260,290,154,22,463,444,2285,1005,963,887,294,199,530,1896,724,851,866,281,19,328,486,1530,659,85,20,776,276,705,585,381,539,783,4720,2865,538,654,,,427,,,,,,,
"Tuesday, 5 January 2021",1570,3474,1080,3648,389,134,1959,2163,636,179,,823,1421,,209,413,123,26,476,768,1885,1125,854,954,273,193,730,1441,826,722,947,250,18,309,598,1480,674,261,68,876,300,739,535,470,519,914,4690,3353,637,696,,,505,,,,,,,
"Wednesday, 6 January 2021",1499,3155,1040,3343,440,142,1781,1891,589,192,,636,1298,,243,398,146,30,372,694,1841,1066,775,785,260,184,646,1380,716,663,883,288,20,263,518,1278,642,136,22,784,229,796,371,419,574,810,4199,3202,566,747,,,453,,,,,,,
"Thursday, 7 January 2021",1500,2758,1288,2992,507,117,2561,1649,916,199,,1006,1234,,269,260,131,16,537,510,2217,901,919,732,263,142,545,1535,698,907,752,252,18,288,477,1245,603,135,18,697,227,623,678,425,468,651,4546,2625,457,624,,,398,,,,,,,
"Friday, 8 January 2021",998,2635,1160,2780,531,111,1427,1128,811,185,,827,1158,,272,282,107,30,667,655,1375,696,758,574,309,163,673,1108,545,748,703,252,18,278,343,943,430,66,6,681,225,592,463,319,404,616,1155,943,501,486,,,371,,,,,,,
"Saturday, 9 January 2021",1777,921,1671,997,678,146,1602,752,1275,256,,597,397,,285,80,160,18,466,200,1767,414,1222,693,453,171,165,2147,522,992,360,375,12,306,207,1379,384,24,9,272,267,311,550,224,312,148,2281,828,167,172,,,111,,,,,,,
"Sunday, 10 January 2021",2556,1884,2096,1954,829,226,2192,1636,1522,419,,915,857,,385,149,195,29,671,530,2661,877,1553,1372,595,276,410,3141,1015,1338,682,561,9,401,260,1961,823,134,16,429,369,530,633,297,555,256,3382,1649,274,298,,,190,,,,,,,
"Monday, 11 January 2021",2552,1596,1783,1732,699,165,2081,1213,1297,307,,636,736,,359,127,195,29,472,334,2448,758,1295,922,475,230,341,2682,705,1057,586,458,27,402,313,1914,594,187,61,507,276,483,595,330,474,312,3619,1638,329,303,,,194,,,,,,,
"Tuesday, 12 January 2021",2255,4073,1675,4281,678,227,2296,2352,1063,215,,1084,1715,,372,478,134,27,717,840,2540,1295,1237,1228,439,277,889,2121,959,1097,1265,380,34,496,766,1967,760,201,123,1048,316,924,570,519,632,1048,4532,3851,769,855,,,621,,,,,,,
"Wednesday, 13 January 2021",2092,4027,1556,4303,581,207,2119,2434,972,236,,905,1657,,342,476,121,32,617,800,2529,1307,935,1178,342,229,841,2042,904,891,1184,399,28,477,733,1815,745,793,90,1037,392,1049,558,526,729,1155,4482,3947,758,,,,659,,,,,,,
"Thursday, 14 January 2021",2021,3747,1388,4037,506,189,2061,2178,823,189,,905,1566,,355,497,111,24,638,797,2289,1252,980,1112,347,235,829,1673,843,889,1087,667,38,424,662,1709,698,805,95,1019,318,889,464,546,657,1071,4709,3715,689,,,,631,,,,,,,
