Year,Predicted_Passenger_Trips
1991,5372000
1992,5477000
1993,5897000
1994,6671000
1995,7171000
1996,7430000
1997,7467000
1998,7544000
1999,8104000
2000,9928000
2001,9297000
2002,9398000
2003,10868000
2004,11874000
2005,12369000
2006,13482000
2007,14464000
2008,15349000
2009,16120000
2010,16937000
2011,17941000
2012,18892000
2013,19664000
2014,20376000
2015,21243000
2016,21916000
2017,22690000
2018,23491000
2019,24329000
2020,25179000
2021,26067000
2022,26988000
2023,27940000
